Original Tagalog,Tokens,Reference English,Parsed,Parsed Tree (Compact),Parsed Tree (Pretty Single Line),Rewritten Tree (Compact),Rewritten Tree (Pretty Single Line),Rewritten Tagalog Text,Simple Lexical Translation
"Paano mo sabihin ang ""paalam"" sa Aleman?","paano mo sabihin ang ""paalam"" sa aleman?","How do you say ""good bye"" in German?",True,"(S
  (Adv paano)
  (NP (Pronoun mo))
  (V sabihin)
  (NP (DET ang) (N ""paalam""))
  (PP (P sa) (N aleman?)))","(S  (Adv paano)  (NP (Pronoun mo))  (V sabihin)  (NP (DET ang) (N ""paalam""))  (PP (P sa) (N aleman?)))","(S
  (Adv paano)
  (NP (Pronoun mo))
  (V sabihin)
  (NP (DET ang) (N ""paalam""))
  (PP (P sa) (N aleman?)))","(S  (Adv paano)  (NP (Pronoun mo))  (V sabihin)  (NP (DET ang) (N ""paalam""))  (PP (P sa) (N aleman?)))","paano mo sabihin ang ""paalam"" sa aleman?","How you/your say [ang] [""paalam""] to/at/in [aleman?]"
Diyos ang lumikha sa mundo.,diyos ang lumikha sa mundo.,God created the world.,True,(S (NP (N diyos)) (DET ang) (VP (V lumikha) (NP (P sa) (N mundo.)))),(S (NP (N diyos)) (DET ang) (VP (V lumikha) (NP (P sa) (N mundo.)))),(S (NP (N diyos)) (DET ang) (VP (V lumikha) (NP (P sa) (N mundo.)))),(S (NP (N diyos)) (DET ang) (VP (V lumikha) (NP (P sa) (N mundo.)))),diyos ang lumikha sa mundo.,God [ang] created to/at/in [mundo.]
Kamusta ka na?,kamusta ka na?, How are you?,True,(S (V kamusta) (NP (NP (Pronoun ka)) (N na?))),(S (V kamusta) (NP (NP (Pronoun ka)) (N na?))),(S (V kamusta) (NP (NP (Pronoun ka)) (N na?))),(S (V kamusta) (NP (NP (Pronoun ka)) (N na?))),kamusta ka na?,How is/are you [na?]
Tara na agad,tara na agad,Let's go now,True,(S (Interjection tara) (Adv na) (Adv agad)),(S (Interjection tara) (Adv na) (Adv agad)),(S (Interjection tara) (Adv na) (Adv agad)),(S (Interjection tara) (Adv na) (Adv agad)),tara na agad,Let's go now/already immediately
Kumain ka na?,kumain ka na?,Have you eaten yet?,True,(S (V kumain) (NP (NP (Pronoun ka)) (N na?))),(S (V kumain) (NP (NP (Pronoun ka)) (N na?))),(S (V kumain) (NP (NP (Pronoun ka)) (N na?))),(S (V kumain) (NP (NP (Pronoun ka)) (N na?))),kumain ka na?,Ate/eaten you [na?]
Paano ang tanggapan?,paano ang tanggapan?,What about the office?,True,(S (Interrogative paano) (DET ang) (N tanggapan?)),(S (Interrogative paano) (DET ang) (N tanggapan?)),(S (Interrogative paano) (DET ang) (N tanggapan?)),(S (Interrogative paano) (DET ang) (N tanggapan?)),paano ang tanggapan?,How [ang] [tanggapan?]
Magdadala ako sa iyo doon.,magdadala ako sa iyo doon.,I'll take you there.,True,"(S
  (V magdadala)
  (NP (Pronoun ako))
  (PP (P sa) (NP (NP (N iyo)) (N doon.))))",(S  (V magdadala)  (NP (Pronoun ako))  (PP (P sa) (NP (NP (N iyo)) (N doon.)))),"(S
  (V magdadala)
  (NP (Pronoun ako))
  (PP (P sa) (NP (NP (N iyo)) (N doon.))))",(S  (V magdadala)  (NP (Pronoun ako))  (PP (P sa) (NP (NP (N iyo)) (N doon.)))),magdadala ako sa iyo doon.,Will bring i to/at/in [iyo] [doon.]
Kumusta po kayo?,kumusta po kayo?,How are you?,True,(S (VP (V kumusta) (Particle po)) (NP (N kayo?))),(S (VP (V kumusta) (Particle po)) (NP (N kayo?))),(S (NP (N kayo?)) (VP (V kumusta) (Particle po))),(S (NP (N kayo?)) (VP (V kumusta) (Particle po))),kayo? kumusta po,[kayo?] how is/are [po]
Sila’y isinilang na may budhi at katwiran,sila’y isinilang na may budhi at katwiran,They were born with a conscience and reason.,True,"(S
  (NP (NP (N sila’y)) (V isinilang))
  (Adv na)
  (V may)
  (NP (NP (N budhi)) (CONJ at) (NP (N katwiran))))",(S  (NP (NP (N sila’y)) (V isinilang))  (Adv na)  (V may)  (NP (NP (N budhi)) (CONJ at) (NP (N katwiran)))),"(S
  (NP (NP (N sila’y)) (V isinilang))
  (Adv na)
  (V may)
  (NP (NP (N budhi)) (CONJ at) (NP (N katwiran))))",(S  (NP (NP (N sila’y)) (V isinilang))  (Adv na)  (V may)  (NP (NP (N budhi)) (CONJ at) (NP (N katwiran)))),sila’y isinilang na may budhi at katwiran,[sila’y] was born now/already have/has/there is conscience and reason
"Pakiusap, intindihin mo na lang ang trabaho mo.","pakiusap, intindihin mo na lang ang trabaho mo.","Just mind your own business, please.",True,"(S
  (NP (N pakiusap,))
  (VP
    (V intindihin)
    (Pronoun mo)
    (NP
      (NP (Adv na) (NP (Adv lang) (NP (DET ang) (N trabaho))))
      (N mo.))))","(S  (NP (N pakiusap,))  (VP   (V intindihin)   (Pronoun mo)   (NP    (NP (Adv na) (NP (Adv lang) (NP (DET ang) (N trabaho))))    (N mo.))))","(S
  (NP (N pakiusap,))
  (VP
    (V intindihin)
    (Pronoun mo)
    (NP
      (NP (Adv na) (NP (Adv lang) (NP (DET ang) (N trabaho))))
      (N mo.))))","(S  (NP (N pakiusap,))  (VP   (V intindihin)   (Pronoun mo)   (NP    (NP (Adv na) (NP (Adv lang) (NP (DET ang) (N trabaho))))    (N mo.))))","pakiusap, intindihin mo na lang ang trabaho mo.","[pakiusap,] understand/mind you/your now/already only/just [ang] work/job [mo.]"
Natutulog nang magalit ang mga ideyang walang kulay at kulay berde.,natutulog nang magalit ang mga ideyang walang kulay at kulay berde.,Colorless green ideas sleep furiously.,False,Not Parsed,Not Parsed,Not Parsed,Not Parsed,Not Parsed,Sleeping when/of/so that get angry [ang] those [ideyang] [walang] color and color [berde.]
Siya ay nagbebenta ng gamot sa botika.,siya ay nagbebenta ng gamot sa botika.,She sells medicine in the pharmacy.,True,"(S
  (NP (Pronoun siya))
  (AY ay)
  (V nagbebenta)
  (NP (P ng) (N gamot))
  (PP (P sa) (N botika.)))",(S  (NP (Pronoun siya))  (AY ay)  (V nagbebenta)  (NP (P ng) (N gamot))  (PP (P sa) (N botika.))),"(S
  (NP (Pronoun siya))
  (AY ay)
  (V nagbebenta)
  (NP (P ng) (N gamot))
  (PP (P sa) (N botika.)))",(S  (NP (Pronoun siya))  (AY ay)  (V nagbebenta)  (NP (P ng) (N gamot))  (PP (P sa) (N botika.))),siya ay nagbebenta ng gamot sa botika.,He/she [ay] selling of medicine to/at/in [botika.]
Nais kong maging kaibigan si Nancy.,nais kong maging kaibigan si nancy.,I want to make friends with Nancy.,True,"(S
  (V nais)
  (NP (NP (NP (Pronoun kong)) (V maging)) (N kaibigan))
  (NP (DET si) (N nancy.)))",(S  (V nais)  (NP (NP (NP (Pronoun kong)) (V maging)) (N kaibigan))  (NP (DET si) (N nancy.))),"(S
  (V nais)
  (NP (NP (NP (Pronoun kong)) (V maging)) (N kaibigan))
  (NP (DET si) (N nancy.)))",(S  (V nais)  (NP (NP (NP (Pronoun kong)) (V maging)) (N kaibigan))  (NP (DET si) (N nancy.))),nais kong maging kaibigan si nancy.,Want/wish my to be/become friend [si] [nancy.]
Nagsasaulo siya ng sampung salitang Ingles kada araw.,nagsasaulo siya ng sampung salitang ingles kada araw.,He memorized ten English words a day.,True,"(S
  (V nagsasaulo)
  (NP (Pronoun siya))
  (PP (P ng) (NP (Number sampung) (N salitang)))
  (NP (NP (NP (ProperName ingles)) (Adv kada)) (N araw.)))",(S  (V nagsasaulo)  (NP (Pronoun siya))  (PP (P ng) (NP (Number sampung) (N salitang)))  (NP (NP (NP (ProperName ingles)) (Adv kada)) (N araw.))),"(S
  (V nagsasaulo)
  (NP (Pronoun siya))
  (PP (P ng) (NP (Number sampung) (N salitang)))
  (NP (NP (NP (ProperName ingles)) (Adv kada)) (N araw.)))",(S  (V nagsasaulo)  (NP (Pronoun siya))  (PP (P ng) (NP (Number sampung) (N salitang)))  (NP (NP (NP (ProperName ingles)) (Adv kada)) (N araw.))),nagsasaulo siya ng sampung salitang ingles kada araw.,Memorizing he/she of ten [salitang] english each/per [araw.]
"Huwag kang mag-alala, magpakasaya ka!","huwag kang mag-alala, magpakasaya ka!","Don't worry, be happy!",True,"(S
  (V huwag)
  (NP
    (NP (NP (NP (Pronoun kang)) (N mag-alala,)) (V magpakasaya))
    (N ka!)))","(S  (V huwag)  (NP   (NP (NP (NP (Pronoun kang)) (N mag-alala,)) (V magpakasaya))   (N ka!)))","(S
  (V huwag)
  (NP
    (NP (NP (NP (Pronoun kang)) (N mag-alala,)) (V magpakasaya))
    (N ka!)))","(S  (V huwag)  (NP   (NP (NP (NP (Pronoun kang)) (N mag-alala,)) (V magpakasaya))   (N ka!)))","huwag kang mag-alala, magpakasaya ka!","Don't you [mag-alala,] be happy [ka!]"
Gumaling sa sipnayan ang anak ko ngayong taon na ito.,gumaling sa sipnayan ang anak ko ngayong taon na ito.,My son's ability at math has improved this year.,True,"(S
  (V gumaling)
  (NP (P sa) (N sipnayan))
  (NP
    (NP
      (NP
        (NP (NP (DET ang) (N anak) (Pronoun ko)) (Adv ngayong))
        (N taon))
      (Adv na))
    (N ito.)))",(S  (V gumaling)  (NP (P sa) (N sipnayan))  (NP   (NP    (NP     (NP (NP (DET ang) (N anak) (Pronoun ko)) (Adv ngayong))     (N taon))    (Adv na))   (N ito.))),"(S
  (V gumaling)
  (NP (P sa) (N sipnayan))
  (NP
    (NP
      (NP
        (NP (NP (DET ang) (N anak) (Pronoun ko)) (Adv ngayong))
        (N taon))
      (Adv na))
    (N ito.)))",(S  (V gumaling)  (NP (P sa) (N sipnayan))  (NP   (NP    (NP     (NP (NP (DET ang) (N anak) (Pronoun ko)) (Adv ngayong))     (N taon))    (Adv na))   (N ito.))),gumaling sa sipnayan ang anak ko ngayong taon na ito.,Improved/got well to/at/in mathematics [ang] child/son/daughter [ko] this year now/already [ito.]
Naglakad ako papunta sa parke.,naglakad ako papunta sa parke.,I walked toward the park.,True,"(S
  (VP (V naglakad) (NP (Pronoun ako)) (V papunta))
  (NP (P sa) (N parke.)))",(S  (VP (V naglakad) (NP (Pronoun ako)) (V papunta))  (NP (P sa) (N parke.))),"(S
  (NP (P sa) (N parke.))
  (VP (V naglakad) (NP (Pronoun ako)) (V papunta)))",(S  (NP (P sa) (N parke.))  (VP (V naglakad) (NP (Pronoun ako)) (V papunta))),sa parke. naglakad ako papunta,To/at/in [parke.] walked i going to
Ano’ng araw magsisimula?,ano’ng araw magsisimula?,What day does it start?,True,(S (NP (N ano’ng)) (NP (NP (N araw)) (N magsisimula?))),(S (NP (N ano’ng)) (NP (NP (N araw)) (N magsisimula?))),(S (NP (N ano’ng)) (NP (NP (N araw)) (N magsisimula?))),(S (NP (N ano’ng)) (NP (NP (N araw)) (N magsisimula?))),ano’ng araw magsisimula?,[ano’ng] day/sun [magsisimula?]
Ano'ng klaseng trabaho ang papasukan mo?,ano'ng klaseng trabaho ang papasukan mo?,What kind of work will you do?,True,"(S
  (NP (NP (NP (N ano'ng)) (N klaseng)) (N trabaho))
  (NP (NP (DET ang) (V papasukan)) (N mo?)))",(S  (NP (NP (NP (N ano'ng)) (N klaseng)) (N trabaho))  (NP (NP (DET ang) (V papasukan)) (N mo?))),"(S
  (NP (NP (NP (N ano'ng)) (N klaseng)) (N trabaho))
  (NP (NP (DET ang) (V papasukan)) (N mo?)))",(S  (NP (NP (NP (N ano'ng)) (N klaseng)) (N trabaho))  (NP (NP (DET ang) (V papasukan)) (N mo?))),ano'ng klaseng trabaho ang papasukan mo?,[ano'ng] [klaseng] work/job [ang] will enter/apply for [mo?]
Sampung taon na ang nakalipas mula nang dumating ako sa Tokyo.,sampung taon na ang nakalipas mula nang dumating ako sa tokyo.,It is ten years since I came to Tokyo.,True,"(S
  (NP
    (NP
      (NP (Number sampung) (N taon))
      (Particle na)
      (NP (DET ang) (V nakalipas)))
    (PP (P mula) (Adv nang)))
  (VP (V dumating) (Pronoun ako) (NP (P sa) (N tokyo.))))",(S  (NP   (NP    (NP (Number sampung) (N taon))    (Particle na)    (NP (DET ang) (V nakalipas)))   (PP (P mula) (Adv nang)))  (VP (V dumating) (Pronoun ako) (NP (P sa) (N tokyo.)))),"(S
  (NP
    (NP
      (NP (Number sampung) (N taon))
      (Particle na)
      (NP (DET ang) (V nakalipas)))
    (PP (P mula) (Adv nang)))
  (VP (V dumating) (Pronoun ako) (NP (P sa) (N tokyo.))))",(S  (NP   (NP    (NP (Number sampung) (N taon))    (Particle na)    (NP (DET ang) (V nakalipas)))   (PP (P mula) (Adv nang)))  (VP (V dumating) (Pronoun ako) (NP (P sa) (N tokyo.)))),sampung taon na ang nakalipas mula nang dumating ako sa tokyo.,Ten year now/already [ang] passed from when/of/so that arrived i to/at/in [tokyo.]
Mukhang 19 taong gulang iyong mestiza na iyon.,mukhang 19 taong gulang iyong mestiza na iyon.,The girl with fair skin passes for nineteen.,True,"(S
  (Adj
    (Adj (Adj mukhang) (NP (Number 19) (N taong)))
    (NP (NP (N gulang)) (N iyong)))
  (NP (N mestiza) (Particle na) (N iyon.)))",(S  (Adj   (Adj (Adj mukhang) (NP (Number 19) (N taong)))   (NP (NP (N gulang)) (N iyong)))  (NP (N mestiza) (Particle na) (N iyon.))),"(S
  (Adj
    (Adj (Adj mukhang) (NP (Number 19) (N taong)))
    (NP (NP (N gulang)) (N iyong)))
  (NP (N mestiza) (Particle na) (N iyon.)))",(S  (Adj   (Adj (Adj mukhang) (NP (Number 19) (N taong)))   (NP (NP (N gulang)) (N iyong)))  (NP (N mestiza) (Particle na) (N iyon.))),mukhang 19 taong gulang iyong mestiza na iyon.,Looks/seems 19 person age [iyong] mestiza now/already [iyon.]
Masama ang timpla ngayon.,masama ang timpla ngayon.,The mixture is bad now.,True,(S (NP (N masama)) (NP (NP (DET ang) (N timpla)) (N ngayon.))),(S (NP (N masama)) (NP (NP (DET ang) (N timpla)) (N ngayon.))),(S (NP (N masama)) (NP (NP (DET ang) (N timpla)) (N ngayon.))),(S (NP (N masama)) (NP (NP (DET ang) (N timpla)) (N ngayon.))),masama ang timpla ngayon.,[masama] [ang] mix/temper [ngayon.]
Sampung taong gulang ako ngayon.,sampung taong gulang ako ngayon.,I am ten years old now.,True,"(S
  (NP (NP (Number sampung) (N taong)) (N gulang))
  (NP (NP (Pronoun ako)) (N ngayon.)))",(S  (NP (NP (Number sampung) (N taong)) (N gulang))  (NP (NP (Pronoun ako)) (N ngayon.))),"(S
  (NP (NP (Number sampung) (N taong)) (N gulang))
  (NP (NP (Pronoun ako)) (N ngayon.)))",(S  (NP (NP (Number sampung) (N taong)) (N gulang))  (NP (NP (Pronoun ako)) (N ngayon.))),sampung taong gulang ako ngayon.,Ten person age i [ngayon.]
"Kahit umulan, nananatili siya sa paaralan.","kahit umulan, nananatili siya sa paaralan.","Even though it rains, he stays at school.",True,"(S
  (NP (Adv kahit) (NP (N umulan,)))
  (VP (V nananatili) (Pronoun siya) (NP (P sa) (N paaralan.))))","(S  (NP (Adv kahit) (NP (N umulan,)))  (VP (V nananatili) (Pronoun siya) (NP (P sa) (N paaralan.))))","(S
  (NP (Adv kahit) (NP (N umulan,)))
  (VP (V nananatili) (Pronoun siya) (NP (P sa) (N paaralan.))))","(S  (NP (Adv kahit) (NP (N umulan,)))  (VP (V nananatili) (Pronoun siya) (NP (P sa) (N paaralan.))))","kahit umulan, nananatili siya sa paaralan.","Even if/although [umulan,] staying he/she to/at/in [paaralan.]"
